,S,K,T,r,sigma,value
0,-1.0004314810822905,1.020382725286595,0.33234357926167,-0.8888813457338524,-1.7357183609020463,1.1024946145061665
1,-1.2037406672682562,0.086680132265354,-0.693916477807331,-1.0834467146067324,-0.22114022383712834,0.8190048279240669
2,-0.8704192829096667,-0.8297062198192526,0.4387301373201599,-1.3210219804549737,0.6058929529247292,0.4116507569794215
3,0.04177171832428299,-1.346975432263001,1.0461466305897384,0.060296919606957156,-0.47821794980763566,-0.7617075540416692
4,0.21091708832165582,0.8937837709176153,-0.23748344607640298,1.127034518153667,0.222752825155227,0.446968653889729
5,1.302147562236416,1.6927457061104743,1.3573439664665816,-1.1962486802844319,-0.822677331849012,0.042903026381287374
6,1.1644766994300624,-1.3213126620749402,-0.7363399735433096,-0.4179736918594792,-0.7856111235259233,-1.7975399807115373
7,1.4064351255163747,1.5979965814801536,0.5250865749941093,-1.015524451716606,-0.7525799368175123,-0.21411043870313268
8,0.7689987306492879,-0.3445473921472215,-0.9670263774384207,-1.5875901297859407,-0.7821779762503761,-1.4458705362737452
9,-0.13696781886307477,-0.11085224215617556,0.9527035626940459,1.2816193116069008,1.1139956014016348,0.6280662320417775
10,0.3262769008261349,-0.21645463829650408,0.41033152109836046,1.311581184295435,-0.4767510337800358,-0.5099790296212174
11,0.7387072294488168,-1.1851130574961852,-0.8983719833290308,0.9484281244352251,-1.7440558640000852,-1.8654021856179526
12,-0.533656602284624,-1.2117223976882192,0.4455071318069581,1.4491203730718523,0.15599178514459522,-0.2617505431086737
13,-0.12362310280589016,1.1554065695644289,-1.8624253523633663,1.3738248568745728,-0.7977549881542007,0.26537198713413734
14,0.3804529112007723,-0.019272103445061993,1.163934916669784,1.5783377504593787,1.6152039221154746,0.7443534507036323
15,0.34119105655807647,1.6056723120770804,1.5377170906950859,0.7921126934537853,0.3457306735789793,1.0919262618746008
16,1.0483946763080667,1.0397901797324411,-0.5858057438740327,0.9944950870866675,0.4545670080370335,0.18887538307765275
17,-0.45618543045680005,1.6168688396140987,-0.6732927435673616,-1.6928426911858456,1.4717399069635395,1.5361106401664255
18,-2.1086512181171453,-0.1254175985052269,1.4060151796706901,-1.233424911719581,1.5374169347484574,1.2245770895058163
19,-0.8240178698472075,-1.7694714044462703,-0.5003495438724299,-1.7016967793457953,1.5833241234402096,-0.07841793418822599
